-0.19;0.28;-9.80;0.01;-0.02;-0.01;0.02;
-0.21;0.27;-9.77;0.00;-0.03;-0.00;0.02;
-0.20;0.32;-9.94;0.00;-0.00;-0.00;0.02;
-0.27;0.29;-9.97;-0.00;0.01;0.01;0.02;
-0.26;0.39;-9.99;-0.00;0.01;0.01;0.02;
-0.13;0.37;-10.06;-0.00;0.01;0.01;0.14;
-0.28;0.15;-9.84;0.00;0.01;0.01;0.02;
-0.32;0.20;-9.68;0.01;0.00;0.01;0.02;
-0.11;0.14;-9.68;-0.00;0.00;0.00;0.02;
-0.11;0.33;-9.84;-0.00;0.01;0.00;0.02;
-0.01;0.24;-9.99;-0.00;0.02;-0.00;0.02;
-0.02;0.24;-9.66;-0.00;0.00;0.01;0.14;
-0.10;0.34;-9.97;0.00;-0.01;-0.01;0.02;
-0.04;0.26;-10.01;0.01;-0.01;-0.00;0.02;
-0.07;0.27;-9.81;0.00;-0.00;0.01;0.02;
-0.00;0.23;-9.86;0.00;0.00;0.00;0.02;
-0.09;0.29;-9.82;0.00;0.01;-0.01;0.14;
-0.21;0.35;-9.78;-0.00;0.01;0.00;0.02;
0.01;0.24;-9.97;0.00;-0.01;0.00;0.02;
-0.05;0.28;-9.87;0.01;-0.02;0.00;0.02;
-0.01;0.30;-9.74;0.00;-0.02;-0.00;0.02;
-0.12;0.39;-9.84;-0.00;0.00;0.00;0.02;
-0.06;0.30;-9.75;0.00;-0.01;-0.00;0.14;
-0.18;0.30;-9.96;-0.01;0.01;0.00;0.02;
-0.19;0.27;-9.71;-0.01;0.01;0.00;0.02;
-0.15;0.35;-9.85;0.00;0.00;0.00;0.02;
0.08;0.23;-9.71;0.01;-0.01;0.01;0.02;
-0.16;0.21;-9.87;0.01;-0.02;0.00;0.02;
-0.04;0.23;-9.85;-0.00;0.01;-0.01;0.14;
0.17;0.30;-9.87;0.00;0.00;-0.01;0.02;
-0.23;0.13;-9.85;0.00;0.01;0.01;0.02;
0.03;0.24;-10.00;0.00;0.00;0.00;0.02;
-0.11;0.13;-9.84;-0.00;0.02;-0.00;0.02;
-0.01;0.38;-9.73;-0.00;-0.00;-0.00;0.02;
-0.18;0.06;-9.79;-0.01;0.02;-0.00;0.14;
-0.17;0.15;-9.96;-0.00;0.02;0.00;0.02;
0.03;0.36;-9.78;-0.00;0.02;0.01;0.02;
-0.19;0.28;-9.81;0.00;-0.01;0.00;0.02;
-0.22;0.31;-9.74;0.01;-0.01;-0.01;0.02;
-0.24;0.14;-9.78;0.00;-0.01;-0.00;0.02;
-0.16;0.33;-9.74;0.01;-0.01;-0.00;0.14;
0.01;0.19;-9.85;-0.00;0.01;0.01;0.02;
-0.21;0.30;-9.91;0.00;-0.00;0.00;0.02;
-0.10;0.21;-9.82;0.00;-0.01;0.00;0.02;
-0.18;0.21;-9.92;-0.00;0.01;0.00;0.02;
-0.11;0.18;-9.97;0.00;-0.02;0.00;0.02;
-0.24;0.34;-9.91;-0.00;0.01;0.01;0.14;
-0.23;0.30;-9.74;-0.00;0.01;0.00;0.02;
-0.18;0.28;-9.86;-0.01;0.02;0.00;0.02;
-0.20;0.17;-9.74;-0.01;0.01;0.00;0.02;
