4.41;-26.36;46.84;0.0210
4.15;-20.98;46.91;0.0210
2.42;-16.29;46.99;0.0210
4.79;-15.94;47.06;0.0210
5.39;-17.38;47.13;0.0210
4.05;-18.63;47.20;0.0210
4.78;-15.54;47.27;0.0210
3.09;-13.99;47.34;0.0210
4.30;-9.81;47.40;0.0210
2.29;-10.60;47.47;0.0210
-2.74;-12.65;47.34;0.0210
-3.83;-12.15;47.22;0.0210
-3.92;-12.44;47.09;0.0210
-4.35;-9.61;46.97;0.0210
-9.92;-4.80;46.89;0.0210
-12.22;-6.37;46.79;0.0210
-12.26;-10.01;46.68;0.0210
-17.54;-14.07;46.57;0.0210
-13.00;-9.63;46.47;0.0210
-14.58;-3.73;46.39;0.0210
-25.16;-6.96;46.30;0.0210
-24.82;-10.94;46.20;0.0210
-30.00;-13.53;46.10;0.0210
-33.14;-16.08;46.00;0.0210
-32.63;-5.83;45.92;0.0210
-33.25;2.81;45.85;0.0210
-31.86;-5.90;45.76;0.0210
-34.34;-8.91;45.67;0.0210
-37.56;-9.60;45.58;0.0210
-47.04;-1.72;45.50;0.0210
-45.24;-3.13;45.41;0.0210
-47.85;-8.88;45.33;0.0210
-51.84;-8.31;45.24;0.0210
-54.62;4.35;45.16;0.0210
-52.32;15.12;45.09;0.0210
-59.98;16.55;45.02;0.0210
-61.81;9.81;44.94;0.0210
-64.71;-5.20;44.85;0.0210
-65.78;-15.80;44.77;0.0210
-68.29;-11.63;44.68;0.0210
-73.48;-2.93;44.60;0.0210
-70.69;3.88;44.52;0.0210
-68.47;17.84;44.45;0.0210
-71.78;26.88;44.38;0.0210
-71.51;20.39;44.30;0.0210
-82.71;4.41;44.22;0.0210
-83.85;-26.45;44.13;0.0210
-82.00;9.21;44.06;0.0210
-80.98;27.95;43.98;0.0210
-83.95;38.27;43.90;0.0210
-86.80;4.60;43.82;0.0210
-83.99;34.64;43.75;0.0210
-86.47;60.75;43.68;0.0210
-84.51;59.62;43.60;0.0210
-91.61;89.89;43.53;0.0210
-92.97;113.60;43.45;0.0210
-91.07;103.56;43.37;0.0210
-89.77;94.28;43.30;0.0210
-91.40;97.35;43.23;0.0210
-89.59;89.36;43.15;0.0210
-88.04;77.45;43.07;0.0210
-88.74;78.88;43.00;0.0210
-92.07;108.96;42.92;0.0210
-88.90;86.77;42.84;0.0210
-86.97;71.33;42.77;0.0210
-83.62;44.61;42.69;0.0210
-90.30;80.90;42.61;0.0210
-93.45;116.95;42.53;0.0210
-89.02;87.23;42.46;0.0210
-86.12;60.29;42.38;0.0210
-88.85;38.96;42.30;0.0210
-89.86;70.05;42.22;0.0210
-90.57;107.54;42.14;0.0210
-87.49;34.00;42.06;0.0210
-87.27;8.35;41.99;0.0210
-86.37;7.71;41.91;0.0210
-87.84;-36.04;41.82;0.0210
-91.84;-95.61;41.74;0.0210
-89.88;-85.87;41.66;0.0210
-86.36;-38.31;41.58;0.0210
-84.36;-29.68;41.50;0.0210
-88.59;-33.54;41.42;0.0210
-89.19;-60.61;41.34;0.0210
-88.96;-72.76;41.26;0.0210
-87.29;-32.97;41.18;0.0210
-86.72;-3.33;41.10;0.0210
-88.54;4.91;41.03;0.0210
-89.56;-51.14;40.94;0.0210
-90.18;-76.51;40.86;0.0210
-89.55;-68.71;40.78;0.0210
-86.85;-40.16;40.70;0.0210
-83.60;-36.23;40.62;0.0210
-84.11;-20.31;40.54;0.0210
-85.85;-36.94;40.46;0.0210
-89.83;-71.51;40.38;0.0210
-84.92;-30.12;40.30;0.0210
-82.78;-28.79;40.22;0.0210
-82.66;-31.39;40.14;0.0210
-81.90;-32.84;40.06;0.0210
-82.77;-25.41;39.98;0.0210
-82.79;-24.56;39.90;0.0210
-82.48;-25.75;39.82;0.0210
-80.60;-8.14;39.74;0.0210
-76.43;-4.03;39.66;0.0210
-69.33;0.11;39.59;0.0210
-73.55;-6.32;39.51;0.0210
-81.88;6.36;39.43;0.0210
-74.61;6.08;39.35;0.0210
-71.55;-12.79;39.27;0.0210
-73.26;-10.12;39.19;0.0210
-69.80;-8.07;39.11;0.0210
-66.08;4.36;39.04;0.0210
