0.04343;0.00025;1.56515;0.03417;-0.00274;-0.02084;0.02100
0.02711;-0.00150;1.62591;0.03407;-0.00257;-0.02072;0.02100
0.03916;-0.00546;1.70933;0.03421;-0.00238;-0.02093;0.02100
0.02435;-0.00069;1.59892;0.03430;-0.00211;-0.02113;0.02100
0.03616;0.00937;1.31742;0.03441;-0.00235;-0.02132;0.02100
0.02137;-0.00404;1.75755;0.03448;-0.00226;-0.02137;0.02100
0.03266;-0.03347;2.36847;0.03474;-0.00233;-0.02151;0.02100
0.02522;-0.01386;2.07326;0.03483;-0.00231;-0.02149;0.02100
0.00992;0.00019;1.55193;0.03473;-0.00202;-0.02145;0.02100
0.02801;-0.01496;2.06132;0.03477;-0.00231;-0.02159;0.02100
0.02771;-0.00942;1.89862;0.03481;-0.00251;-0.02169;0.02100
0.02040;-0.02175;2.38835;0.03475;-0.00222;-0.02174;0.02100
0.04656;-0.01747;1.92957;0.03489;-0.00248;-0.02170;0.02100
0.01878;-0.02348;2.46685;0.03514;-0.00230;-0.02165;0.02100
0.00837;-0.01412;2.60640;0.03523;-0.00183;-0.02164;0.02100
0.03415;-0.01264;1.92514;0.03532;-0.00150;-0.02171;0.02100
0.05733;-0.01681;1.85569;0.03546;-0.00122;-0.02166;0.02100
0.03981;-0.03772;2.32917;0.03559;-0.00135;-0.02170;0.02100
0.03325;-0.01442;1.97997;0.03578;-0.00152;-0.02189;0.02100
0.04858;-0.01786;1.92284;0.03604;-0.00158;-0.02199;0.02100
0.03779;-0.00759;1.76883;0.03633;-0.00200;-0.02223;0.02100
0.01631;-0.01814;2.40916;0.03642;-0.00254;-0.02231;0.02100
0.03961;-0.02423;2.11966;0.03638;-0.00267;-0.02227;0.02100
0.04135;-0.02025;2.02603;0.03648;-0.00254;-0.02229;0.02100
0.03786;-0.01163;1.86882;0.03653;-0.00237;-0.02252;0.02100
0.03224;-0.02816;2.28867;0.03645;-0.00202;-0.02269;0.02100
0.00043;-0.00852;3.09128;0.03662;-0.00223;-0.02282;0.02100
0.03403;-0.01440;1.97086;0.03676;-0.00234;-0.02294;0.02100
0.03779;0.00341;1.48089;0.03684;-0.00202;-0.02297;0.02100
0.04581;-0.02600;2.08683;0.03687;-0.00179;-0.02308;0.02100
0.02946;-0.00228;1.64789;0.03698;-0.00189;-0.02312;0.02100
0.04837;-0.02151;1.98902;0.03713;-0.00212;-0.02325;0.02100
0.03502;-0.02816;2.24792;0.03715;-0.00202;-0.02341;0.02100
0.03720;0.00092;1.54621;0.03744;-0.00225;-0.02365;0.02100
0.01593;0.00301;1.38382;0.03753;-0.00230;-0.02385;0.02100
0.04309;-0.00845;1.76425;0.03769;-0.00211;-0.02393;0.02100
0.02669;-0.00864;1.88383;0.03777;-0.00190;-0.02404;0.02100
0.02599;-0.01102;1.97190;0.03772;-0.00161;-0.02407;0.02100
0.04531;-0.00947;1.77675;0.03768;-0.00134;-0.02424;0.02100
0.03657;0.00734;1.37274;0.03764;-0.00158;-0.02415;0.02100
0.02931;-0.00374;1.69781;0.03765;-0.00161;-0.02416;0.02100
0.03792;-0.01435;1.93233;0.03759;-0.00139;-0.02406;0.02100
-0.00077;-0.03982;-3.12233;0.03765;-0.00159;-0.02408;0.02100
0.02273;0.01793;0.90296;0.03767;-0.00183;-0.02399;0.02100
0.02261;-0.02555;2.41724;0.03763;-0.00185;-0.02392;0.02100
0.01971;-0.03223;2.59281;0.03766;-0.00201;-0.02407;0.02100
0.03064;-0.02415;2.23829;0.03783;-0.00202;-0.02424;0.02100
0.02480;-0.00012;1.57578;0.03795;-0.00199;-0.02420;0.02100
0.02436;0.00936;1.20398;0.03802;-0.00196;-0.02422;0.02100
